Date,SPY,,,TA35.TA,,,IEI,,,LQD,,,,,,
2/10/2022,,,,,,,,,,,,,,,,
2/11/2022,,,,-0.04505231,,,,,,,,,,,,
2/12/2022,,,,0.083113489,,,,,,,,,,,,
2/13/2022,,,,0.019761021,,,,,,,,,,,,
2/14/2022,,,,-0.077998777,,,,,,,,,,,,
2/15/2022,,,,0.025584578,,,,,,,,,,,,
2/16/2022,,,,0.003815507,,,,,,,,,,,,
2/17/2022,,,,0.008100617,,,,,,,,,,,,
2/18/2022,,,,0.000614155,,,,,,,,,,Sharp,,
2/19/2022,,,,-0.047956817,,,,,,,,,Port,1000,1000,
2/20/2022,-0.001222314,0.47,0.1,0.017921184,0.21,0.06,-0.0013988,0.19,0.75,-0.00560845,0.11,0.2,0.00230626,1002.30626,998.7822499,-0.00121775
2/21/2022,0.023663509,0.47,0.1,0.008372785,0.21,0.06,0.001165613,0.19,0.75,-0.023415245,0.11,0.2,0.010525924,1012.856459,997.8432737,-0.000940121
2/22/2022,-0.007241448,0.47,0.1,0.006108563,0.21,0.06,-0.000298908,0.19,0.75,0.015570042,0.11,0.2,-0.00046477,1012.385714,1000.370009,0.002532196
2/23/2022,-0.018112091,0.47,0.1,-0.019715335,0.21,0.06,0.001775254,0.19,0.75,-0.005646777,0.11,0.2,-0.012936751,999.2887323,997.5769312,-0.002792045
2/24/2022,0.00529315,0.47,0.1,0.01312425,0.21,0.06,-0.00172244,0.19,0.75,0.001684297,0.11,0.2,0.005101882,1004.386986,997.9378538,0.000361799
2/25/2022,0.005090556,0.47,0.1,-0.018427725,0.21,0.06,0.001019873,0.19,0.75,0.001384929,0.11,0.2,-0.001131143,1003.25088,998.3822184,0.000445283
2/26/2022,-0.002816532,0.47,0.1,-0.008973495,0.21,0.06,0.000996561,0.19,0.75,0.021200038,0.11,0.2,-0.000686853,1002.561794,1002.542842,0.004167366
2/27/2022,-0.020367073,0.47,0.1,0.043093288,0.21,0.06,0.002076237,0.19,0.75,-0.003459051,0.11,0.2,-0.000508945,1002.051546,1003.960696,0.001414257
2/28/2022,0.015561554,0.47,0.1,-0.045784734,0.21,0.06,-0.000965716,0.19,0.75,-0.013100717,0.11,0.2,-0.003925428,998.1180643,999.4073735,-0.004535359
3/1/2022,-0.019122869,0.47,0.1,0.013565125,0.21,0.06,-0.001911325,0.19,0.75,-0.010438612,0.11,0.2,-0.007650471,990.4819909,994.790516,-0.004619595
3/2/2022,-0.000935877,0.47,0.1,0.01309138,0.21,0.06,-0.000921427,0.19,0.75,-7.97E-05,0.11,0.2,0.00212549,992.58725,994.7754801,-1.51147E-05
3/3/2022,-0.004274315,0.47,0.1,-0.03576629,0.21,0.06,-0.001171988,0.19,0.75,-0.021422458,0.11,0.2,-0.012098997,980.5779398,987.0790104,-0.007736891
3/4/2022,0.011028199,0.47,0.1,-0.005776325,0.21,0.06,-0.000388221,0.19,0.75,0.031305135,0.11,0.2,0.007340028,987.7754093,993.7182039,0.006726101
3/5/2022,-0.010755835,0.47,0.1,0.053265069,0.21,0.06,-0.002958802,0.19,0.75,-0.017836643,0.11,0.2,0.003606219,991.337544,990.0751245,-0.003666109
3/6/2022,0.011447662,0.47,0.1,-0.034083229,0.21,0.06,0.000153788,0.19,0.75,-0.001049992,0.11,0.2,-0.001863356,989.490329,989.0901139,-0.000994885
3/7/2022,0.027069009,0.47,0.1,0.024302549,0.21,0.06,-0.002858028,0.19,0.75,-0.032622668,0.11,0.2,0.01369445,1003.040855,984.6362399,-0.004503001
3/8/2022,0.001105116,0.47,0.1,-0.007974513,0.21,0.06,0.001330811,0.19,0.75,0.034403081,0.11,0.2,0.00288195,1005.931568,992.0316114,0.007510765
3/9/2022,0.008449719,0.47,0.1,0.018930224,0.21,0.06,-0.001012426,0.19,0.75,0.007837084,0.11,0.2,0.008616433,1014.59911,994.7982708,0.002788882
3/10/2022,-0.004337393,0.47,0.1,-0.004101517,0.21,0.06,-0.000993658,0.19,0.75,0.001907522,0.11,0.2,-0.002878861,1011.678221,993.76013,-0.001043569
3/11/2022,0.00606542,0.47,0.1,-0.020545664,0.21,0.06,-0.003152252,0.19,0.75,0.009627479,0.11,0.2,-0.001003747,1010.662752,992.7018834,-0.001064891
3/12/2022,-0.009735893,0.47,0.1,0.034980883,0.21,0.06,-0.001217975,0.19,0.75,-0.004767078,0.11,0.2,0.002014322,1012.698552,991.9656625,-0.000741633
3/13/2022,0.018282976,0.47,0.1,-0.022046996,0.21,0.06,0.000996256,0.19,0.75,-0.029422312,0.11,0.2,0.000915964,1013.626147,987.3710832,-0.004631793
3/14/2022,-0.002297688,0.47,0.1,-0.002229531,0.21,0.06,-0.001437325,0.19,0.75,0.016234031,0.11,0.2,-3.54636E-05,1013.5902,989.1535559,0.001805271
3/15/2022,0.013532706,0.47,0.1,0.025495893,0.21,0.06,-0.001400505,0.19,0.75,0.004988977,0.11,0.2,0.011997201,1025.750445,991.9532968,0.002830441
3/16/2022,0.004617878,0.47,0.1,-0.010001919,0.21,0.06,0.000254212,0.19,0.75,-0.000258239,0.11,0.2,8.98934E-05,1025.842654,991.9539749,6.83615E-07
3/17/2022,-0.004235209,0.47,0.1,-0.014454698,0.21,0.06,-0.000293354,0.19,0.75,0.002700641,0.11,0.2,-0.004784701,1020.934303,990.9910954,-0.00097069
3/18/2022,-0.00533122,0.47,0.1,0.021183042,0.21,0.06,-0.001784791,0.19,0.75,0.00649996,0.11,0.2,0.002318651,1023.301493,991.684055,0.000699259
3/19/2022,-0.010277483,0.47,0.1,0.006678019,0.21,0.06,0.001264282,0.19,0.75,-0.018019926,0.11,0.2,-0.005170011,1018.011013,988.4285141,-0.003282841
3/20/2022,0.012792938,0.47,0.1,0.007385821,0.21,0.06,0.001639217,0.19,0.75,0.018274148,0.11,0.2,0.009885311,1028.074368,994.9587505,0.006606686
3/21/2022,0.005353293,0.47,0.1,-0.03703884,0.21,0.06,-0.001594643,0.19,0.75,-0.018726699,0.11,0.2,-0.007625028,1020.235272,988.3638422,-0.006628323
3/22/2022,-0.028055038,0.47,0.1,0.018399598,0.21,0.06,-0.003579681,0.19,0.75,-0.019602991,0.11,0.2,-0.012158421,1007.830823,980.1536153,-0.008306887
3/23/2022,0.01667307,0.47,0.1,-0.012850049,0.21,0.06,0.002053264,0.19,0.75,0.028354316,0.11,0.2,0.008646928,1016.545463,988.0998338,0.008107115
3/24/2022,-0.013668688,0.47,0.1,0.033315232,0.21,0.06,-0.001243058,0.19,0.75,-0.000296575,0.11,0.2,0.000303111,1016.853589,987.7445494,-0.000359563
3/25/2022,-0.011267233,0.47,0.1,-0.022636875,0.21,0.06,-0.000201054,0.19,0.75,-0.010632981,0.11,0.2,-0.011257171,1005.406694,983.0405916,-0.004762322
